### Session ID: SESSION_ID_70381621_14-14-01 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.9908516904583697,2.5290123888617413,4.116493725536095,3.136048577637582,4.355040206111063,3.0171323136016426,3.684801298006915,
OutputSizeInMB,177.34894,279.861546,171.935964,225.689526,162.518205,234.584779,192.0791,
CompressionSpeedInMBPS,23.890531718342263,0.7869497523422352,28.27377426800112,19.826976496391005,3.5639383190625047,142.48774726270477,1.5589257967445584,
CompressionTimeInSeconds,29.6256829,899.3881946,25.0328559,35.697491099,198.5930321,4.9672574,454.0134742,
General compression ratio,3.9908516904583697,2.5290123888617413,4.116493725536095,3.136048577637582,4.355040206111063,3.0171323136016426,3.684801298006915,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,707.773317,707.773317,707.773317,707.773317,707.773317,707.773317,707.773317,
DecompressionSpeedInMBPS,4.838107855040366,1.194366030465884,11.89689932983056,22.104275416970673,0.8619359683788669,30.39060498341616,11.039909517378852,
CompressionSpeedInMBPS,36.6566735,234.318072401,14.452166,10.2102205,188.5502067,7.7189901,17.3986118,
DecompressionTimeInSeconds,36.6566735,234.318072401,14.452166,10.2102205,188.5502067,7.7189901,17.3986118,



### Session ID: SESSION_ID_153617087_14-14-01 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.7269276372443705,2.409989810708643,3.8471952402714615,2.9500450843718014,4.0626144295854045,2.846178427964263,3.453689201786027,
OutputSizeInMB,175.374789,271.208262,169.892378,221.559037,160.883874,229.644474,189.249556,
CompressionSpeedInMBPS,22.71714201777428,0.8008315471396321,27.892010576830113,18.835532118466972,3.3617054940189903,137.37875627430748,1.438757418081874,
CompressionTimeInSeconds,28.7716275,816.163087399,23.4335616,34.7008592,194.427842999,4.7577163,454.287248,
General compression ratio,3.7269276372443705,2.409989810708643,3.8471952402714615,2.9500450843718014,4.0626144295854045,2.846178427964263,3.453689201786027,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,653.609148,653.609148,653.609148,653.609148,653.609148,653.609148,653.609148,
DecompressionSpeedInMBPS,5.52696418499663,1.2480818528111186,12.373105560871675,22.385323493326347,0.8705742855855673,32.208999345046884,11.641143468931967,
CompressionSpeedInMBPS,31.730762699,217.3000604,13.730779,9.8975133,184.8020056,7.1298233,16.2569559,
DecompressionTimeInSeconds,31.730762699,217.3000604,13.730779,9.8975133,184.8020056,7.1298233,16.2569559,



### Session ID: SESSION_ID_259317074_14-14-01 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.7540218917936463,2.42442193905954,3.8614534862571066,2.9686704820551526,4.075111366774483,2.867250324671699,3.4727195976175658,
OutputSizeInMB,174.406358,270.054183,169.554104,220.544951,160.664391,228.34605,188.533876,
CompressionSpeedInMBPS,22.74894342326952,0.7887594959453331,24.521372530199148,18.868054405749746,3.3488946215808633,135.6895452745801,1.4380599312243023,
CompressionTimeInSeconds,28.7804701,830.0696085,26.7001892,34.700201299,195.5048934,4.8251712,455.2837276,
General compression ratio,3.7540218917936463,2.42442193905954,3.8614534862571066,2.9686704820551526,4.075111366774483,2.867250324671699,3.4727195976175658,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,654.725286,654.725286,654.725286,654.725286,654.725286,654.725286,654.725286,
DecompressionSpeedInMBPS,5.863929891733512,1.214350870982653,12.306713712716531,22.470459482460104,0.8394733234017294,32.92215610043255,11.067250889818792,
CompressionSpeedInMBPS,29.742231101,222.385629601,13.7773664,9.8148839,191.387131099,6.9359385,17.0352943,
DecompressionTimeInSeconds,29.742231101,222.385629601,13.7773664,9.8148839,191.387131099,6.9359385,17.0352943,



