### Session ID: SESSION_ID_307275922_19-41-29 ###

### Modification Statistics ###,TRANSFORM_DR3_ALL,Modifications time, Reversal time, Check integrity time
2.0710124,1.6756365,0.5252557

PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,2.8449934324262856,2.9299190738042182,2.3069974889935696,3.061767873850407,2.230889115727982,2.6624464045202916,
OutputSizeInMB,171.797082,166.81743,211.860469,159.633777,219.08824,183.576116,
CompressionSpeedInMBPS,18.832744569932842,19.933004993089682,13.909140829589733,2.9954854533856636,108.28841752975683,1.0817198753610087,
CompressionTimeInSeconds,25.952753099,24.520215099,35.139594601,163.1660636,4.513516599,451.837468399,
General compression ratio,3.8045416161375782,3.918110643474126,3.085092519076789,4.094428887690855,2.9833146133265753,3.5604258453752227,

### Decompression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,488.76157,488.76157,488.76157,488.76157,488.76157,488.76157,
DecompressionSpeedInMBPS,6.588900443052742,13.124369516791667,24.858787591294185,0.969314820784317,43.41766793558009,9.742561405214678,
CompressionSpeedInMBPS,26.073710399,12.710510001,8.5225584,164.687234299,5.046061901,18.8426953,
DecompressionTimeInSeconds,26.073710399,12.710510001,8.5225584,164.687234299,5.046061901,18.8426953,



### Session ID: SESSION_ID_412954918_19-41-29 ###

### Modification Statistics ###,TRANSPOSE,Modifications time, Reversal time, Check integrity time
1.5304958,3.3064946,0.105085601

PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,4.32978775976856,4.145235153755693,3.4111306233588015,4.7698994816134705,3.240105575597865,3.9724111096719223,
OutputSizeInMB,150.956394,157.677218,191.610706,137.027866,201.724645,164.537136,
CompressionSpeedInMBPS,26.38641298477235,34.405302148936116,16.56930801578162,3.881497311386914,160.82459421474704,1.6931487928902564,
CompressionTimeInSeconds,24.7706707,18.997337799,39.4469791,168.3909828,4.064111899,386.0317237,
General compression ratio,4.32978776639299,4.145235160097764,3.4111306285777165,4.769899488911256,3.2401055805551175,3.9724111157495776,

### Decompression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,653.609147,653.609147,653.609147,653.609147,653.609147,653.609147,
DecompressionSpeedInMBPS,6.098175456572132,11.260944593239657,21.16871093321942,0.8778746870085834,30.119000158818377,11.981670826693534,
CompressionSpeedInMBPS,24.754353999,14.0021307,9.0516001,156.0904626,6.6975877,13.7324033,
DecompressionTimeInSeconds,24.754353999,14.0021307,9.0516001,156.0904626,6.6975877,13.7324033,



### Session ID: SESSION_ID_927851632_19-41-29 ###

### Modification Statistics ###,TRANSPOSE,TRANSFORM_DR3_ALL,Modifications time, Reversal time, Check integrity time
7.9011993,10.4196558,0.5259205

PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.2888430744361052,3.1419018344608234,2.63574102203059,3.5817965237294613,2.518680151116201,3.0454100989551973,
OutputSizeInMB,148.612007,155.56233,185.436113,136.457101,194.05464,160.491216,
CompressionSpeedInMBPS,21.730726107110684,25.3748338837859,12.491765374004403,3.3387627605789882,126.63923516324661,1.337527648871211,
CompressionTimeInSeconds,22.491727501,19.2616658,39.1267011,146.3900268,3.8594798,365.421657199,
General compression ratio,4.39809111790005,4.201590115036204,3.5247133766226,4.789850753168206,3.368170676052889,4.072554026882069,

### Decompression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,488.76157,488.76157,488.76157,488.76157,488.76157,488.76157,
DecompressionSpeedInMBPS,6.858963051644006,13.39538257848607,25.38542679766957,0.9292559096662294,37.287341856356804,12.536332044356017,
CompressionSpeedInMBPS,21.666833001,11.6131308,7.3048255,146.8455563,5.2043034,12.8020872,
DecompressionTimeInSeconds,21.666833001,11.6131308,7.3048255,146.8455563,5.2043034,12.8020872,



### Session ID: SESSION_ID_250564296_19-41-29 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.7269276372443705,3.8471952402714615,2.9500450843718014,4.0626144295854045,2.846178427964263,3.453689201786027,
OutputSizeInMB,175.374789,169.892378,221.559037,160.883874,229.644474,189.249556,
CompressionSpeedInMBPS,22.385358804811734,28.95559528900299,17.44812980663087,3.5436023694355083,139.83012930854113,1.5363811099618505,
CompressionTimeInSeconds,29.1980644,22.5728099,37.4601264,184.447655199,4.6743084,425.421234199,
General compression ratio,3.7269276372443705,3.8471952402714615,2.9500450843718014,4.0626144295854045,2.846178427964263,3.453689201786027,

### Decompression Statistics ###,PPMD,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,653.609148,653.609148,653.609148,653.609148,653.609148,653.609148,
DecompressionSpeedInMBPS,5.864805984932946,13.167841866978977,25.395899912943356,0.9144199385023725,33.21477078635656,11.578484659435436,
CompressionSpeedInMBPS,29.902914001,12.902066999,8.724205,175.940907701,6.913926201,16.344933,
DecompressionTimeInSeconds,29.902914001,12.902066999,8.724205,175.940907701,6.913926201,16.344933,



