### Session ID: SESSION_ID_889441208_13-46-55 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.0717311711372424,2.152725767571689,3.0885749214752547,2.498355830125219,3.286328578218944,2.416294655253144,2.9035915456401193,
OutputSizeInMB,33.287021,47.497355,33.105488,40.926428,31.113377,42.316354,35.214588,
CompressionSpeedInMBPS,18.24305914684446,0.7808281801055897,16.82205329224261,16.709525271901946,2.998781345242322,112.76753244490206,1.100094264505499,
CompressionTimeInSeconds,5.6048045,130.9491417,6.078258,6.1191912,34.0967774,0.9067218,92.945471401,
General compression ratio,3.0717311711372424,2.152725767571689,3.0885749214752547,2.498355830125219,3.286328578218944,2.416294655253144,2.9035915456401193,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,102.24878,102.24878,102.24878,102.24878,102.24878,102.24878,102.24878,
DecompressionSpeedInMBPS,5.834275448367125,1.3622488013826737,7.645835611114398,19.072068700856477,0.8918908366018999,36.904542693522444,9.764018528931842,
CompressionSpeedInMBPS,5.705425,34.866872301,4.3298718,2.145883,34.8847367,1.1466435,3.606567101,
DecompressionTimeInSeconds,5.705425,34.866872301,4.3298718,2.145883,34.8847367,1.1466435,3.606567101,



### Session ID: SESSION_ID_260155990_13-46-55 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.1486041922163284,2.1593020906577496,3.1806908410793624,2.539338789037235,3.3684694842862437,2.463032386195176,2.9742175750364304,
OutputSizeInMB,32.33898,47.155351,32.012746,40.098095,30.228164,41.340361,34.235104,
CompressionSpeedInMBPS,16.459685762347654,0.7813706455846899,17.393836298567635,17.233516421662465,3.0052698317540987,113.60435059920847,1.1911299159254722,
CompressionTimeInSeconds,6.1861842,130.3128657,5.85395,5.908408099,33.8813663,0.896291801,85.484082499,
General compression ratio,3.1486041922163284,2.1593020906577496,3.1806908410793624,2.539338789037235,3.3684694842862437,2.463032386195176,2.9742175750364304,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,101.822648,101.822648,101.822648,101.822648,101.822648,101.822648,101.822648,
DecompressionSpeedInMBPS,6.305519423368289,1.3581482085361576,7.8000441033338115,19.055069343075928,0.8768245635715034,36.36324062078036,9.410854534720864,
CompressionSpeedInMBPS,5.128678199,34.720327799,4.104174999,2.1043269,34.474586201,1.1368723,3.637831599,
DecompressionTimeInSeconds,5.128678199,34.720327799,4.104174999,2.1043269,34.474586201,1.1368723,3.637831599,



### Session ID: SESSION_ID_37963121_13-46-55 ###

### Modification Statistics ###,Modifications time, Reversal time, Check integrity time
0.0,0.0,0.0

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.0615635490427424,2.1439980836204615,3.077465597627658,2.4710415455432075,3.2591946556195603,2.3918337843481337,2.85609737705532,
OutputSizeInMB,33.674748,48.086508,33.500742,41.722237,31.632778,43.103907,36.097292,
CompressionSpeedInMBPS,23.260688281003805,0.7832405115556839,16.08706500177282,16.34439115503667,2.9635876467250664,95.86401896723841,1.1477671866089596,
CompressionTimeInSeconds,4.432258399,131.6292754,6.4087129,6.307814101,34.7880317,1.0754544,89.824297299,
General compression ratio,3.0615635490427424,2.1439980836204615,3.077465597627658,2.4710415455432075,3.2591946556195603,2.3918337843481337,2.85609737705532,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,103.097381,103.097381,103.097381,103.097381,103.097381,103.097381,103.097381,
DecompressionSpeedInMBPS,6.57193267718928,1.363918492404426,7.560611458920373,19.024962312348325,0.8970771228227188,38.84687251436066,9.833261945624068,
CompressionSpeedInMBPS,5.124025101,35.2561449,4.4309567,2.193026,35.2620496,1.109584999,3.670937701,
DecompressionTimeInSeconds,5.124025101,35.2561449,4.4309567,2.193026,35.2620496,1.109584999,3.670937701,



