### Session ID: SESSION_ID_446355760_12-47-41 ###

### Modification Statistics ###,TRANSPOSE,TRANSFORM_BOOLEANS,TRANSFORM_NOT_AVAILABLE,TRANSFORM_SOLUTION_ID,TRANSFORM_REF_EPOCHS,Modifications time, Reversal time, Check integrity time
0.1964588,0.434255299,0.0735081

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.0898488703638884,2.6441776465467286,2.886468218898825,2.585523133926847,3.4252792981650706,2.468446494593849,2.9142019530293752,
OutputSizeInMB,29.91273,34.954465,32.020382,35.747433,26.983439,37.442908,31.715652,
CompressionSpeedInMBPS,25.794096024188775,0.8129996946297158,16.804317830710332,13.464209932663664,2.8678939280625664,108.97277527302822,1.251732015153477,
CompressionTimeInSeconds,3.5832159,113.684932,5.500123,6.8645554,32.2277662,0.848155099,73.8383407,
General compression ratio,3.418236316110231,2.9251993987034273,3.1932404803915206,2.8603111166052115,3.7893161060752854,2.730791636162447,3.223921740596725,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,92.425815,92.425815,92.425815,92.425815,92.425815,92.425815,92.425815,
DecompressionSpeedInMBPS,6.859626172536354,1.184727132388703,10.401569533289221,23.50707549568611,0.896321954219132,35.01309058261511,11.290210465170885,
CompressionSpeedInMBPS,4.360693899,29.5042327,3.0784183,1.520709499,30.104628,1.069397399,2.809128501,
DecompressionTimeInSeconds,4.360693899,29.5042327,3.0784183,1.520709499,30.104628,1.069397399,2.809128501,



### Session ID: SESSION_ID_452361414_12-47-41 ###

### Modification Statistics ###,TRANSFORM_BOOLEANS,TRANSFORM_NOT_AVAILABLE,TRANSFORM_SOLUTION_ID,TRANSFORM_REF_EPOCHS,Modifications time, Reversal time, Check integrity time
0.082325701,0.021354601,0.0596122

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,2.7697822818986877,2.162995060270679,2.7915673933547596,2.3018203110185707,2.9679791510816353,2.2177367853146785,2.650467969437972,
OutputSizeInMB,33.369343,42.730479,33.108932,40.153358,31.140992,41.675737,34.871508,
CompressionSpeedInMBPS,17.19688005482412,0.8152974018019238,15.066039286254707,11.70044138979991,2.8036548209085033,98.55165794042126,1.0694706119602384,
CompressionTimeInSeconds,5.3745688,113.3645401,6.134712199,7.8993443,32.966189101,0.9378413,86.422024099,
General compression ratio,3.06415322591158,2.3928769906838627,3.0882536470823037,2.546456513051785,3.2834143498061974,2.4534366362855202,2.932158253666575,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,92.425815,92.425815,92.425815,92.425815,92.425815,92.425815,92.425815,
DecompressionSpeedInMBPS,6.322266854795746,1.33727785925477,9.310082103738132,18.23270441136879,0.9320966614507533,39.49983337857449,9.987628993299985,
CompressionSpeedInMBPS,5.278066201,31.9533287,3.5562449,2.2022711,33.4096165,1.0550864,3.4914701,
DecompressionTimeInSeconds,5.278066201,31.9533287,3.5562449,2.2022711,33.4096165,1.0550864,3.4914701,



### Session ID: SESSION_ID_971487051_12-47-41 ###

### Modification Statistics ###,TRANSFORM_BOOLEANS,TRANSFORM_SOLUTION_ID,TRANSFORM_REF_EPOCHS,Modifications time, Reversal time, Check integrity time
0.0205477,0.051323,0.053866799

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,2.8485078077594523,2.1250953609626375,2.8705520558941795,2.35455725661101,3.051229196186678,2.2697866162155287,2.711985565256911,
OutputSizeInMB,33.367383,44.726111,33.11114,40.367356,31.150479,41.874972,35.047108,
CompressionSpeedInMBPS,17.690501924672464,0.8050307872140643,15.381825164196227,14.894355688457738,2.7250678332867038,103.35939268809834,1.0796202736301928,
CompressionTimeInSeconds,5.3727843,118.066603799,6.179192,6.381427501,34.8788569,0.9195802,88.0376678,
General compression ratio,3.064333214264961,2.286109337787048,3.088047708414751,2.5329570755141853,3.2824143731465574,2.4417635431493543,2.917466970455879,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,95.047251,95.047251,95.047251,95.047251,95.047251,95.047251,95.047251,
DecompressionSpeedInMBPS,6.661999839636261,1.3495377455456126,9.34478228719261,19.236748112333004,0.8691895263229052,40.25303241315721,9.775277257269877,
CompressionSpeedInMBPS,5.0086136,33.1418007,3.5432757,2.0984501,35.8385347,1.0402936,3.5852802,
DecompressionTimeInSeconds,5.0086136,33.1418007,3.5432757,2.0984501,35.8385347,1.0402936,3.5852802,



### Session ID: SESSION_ID_41448320_12-47-41 ###

### Modification Statistics ###,TRANSFORM_SOLUTION_ID,TRANSFORM_REF_EPOCHS,Modifications time, Reversal time, Check integrity time
0.018264599,0.0258007,0.0401816

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,2.9133898271106435,2.137157872686119,2.923329550634463,2.3881079802581495,3.1143586942349737,2.302585212941207,2.758371631600217,
OutputSizeInMB,33.221594,45.287929,33.108636,40.528927,31.077812,42.034255,35.08862,
CompressionSpeedInMBPS,18.138521567970354,0.7251720095283443,15.679376805245287,15.92744168872128,2.6249093772879424,95.2030655426265,0.9878120998469259,
CompressionTimeInSeconds,5.3360167,133.468270601,6.1729146,6.076773401,36.872684001,1.0166422,97.9816445,
General compression ratio,3.077780674822526,2.257749079230362,3.0882812568901965,2.522859290106545,3.290089405264437,2.432510817665259,2.9140154272239833,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,96.787454,96.787454,96.787454,96.787454,96.787454,96.787454,96.787454,
DecompressionSpeedInMBPS,6.498705681129877,1.3054059103031272,8.7389101208957,18.963961483188562,0.8849586894809588,37.919609544237645,8.645897233519468,
CompressionSpeedInMBPS,5.1120324,34.692603,3.7886459,2.1371551,35.117811,1.1085097,4.0584128,
DecompressionTimeInSeconds,5.1120324,34.692603,3.7886459,2.1371551,35.117811,1.1085097,4.0584128,



### Session ID: SESSION_ID_20082628_12-47-41 ###

### Modification Statistics ###,TRANSFORM_REF_EPOCHS,Modifications time, Reversal time, Check integrity time
0.0030373,0.018012299,0.039510901

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.033038002586816,2.1481233566615128,3.048859501058785,2.471539978955513,3.2483506033330185,2.391808422464702,2.873164486845356,
OutputSizeInMB,33.279524,46.98895,33.106826,40.840149,31.073635,42.201566,35.13132,
CompressionSpeedInMBPS,17.788723812015927,0.7591267486353408,15.197384680702823,14.759173664981462,2.7580820022975225,101.87417258446136,1.061737013200085,
CompressionTimeInSeconds,5.6742722,132.966018101,6.6418047,6.839004899,36.597193599,0.9908111,95.0687974,
General compression ratio,3.0724231512445908,2.1760175530630073,3.088450097874076,2.503633862844134,3.290531667762719,2.4228669618563443,2.910473617273703,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,100.938061,100.938061,100.938061,100.938061,100.938061,100.938061,100.938061,
DecompressionSpeedInMBPS,5.566740512158281,1.2901072530017315,8.013001039684301,20.471471199166185,0.8382259351763842,38.32771834931367,10.174205803910022,
CompressionSpeedInMBPS,5.978278299,36.4225144,4.1316388,1.9949787,37.0707153,1.1010717,3.4529791,
DecompressionTimeInSeconds,5.978278299,36.4225144,4.1316388,1.9949787,37.0707153,1.1010717,3.4529791,



### Session ID: SESSION_ID_501948827_12-47-41 ###

### Modification Statistics ###,TRANSPOSE,Modifications time, Reversal time, Check integrity time
0.0913623,0.224487301,0.0232686

PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,

### Compression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
CompressionRatio,3.417798213725346,2.8892787742823822,3.195536177995584,2.8576754431748577,3.789163988155877,2.7311643435866606,3.2514839663833563,
OutputSizeInMB,29.916564,35.389032,31.997378,35.780403,26.984522,37.437798,31.446804,
CompressionSpeedInMBPS,27.933511010233023,0.8390630150118479,19.63688007981906,14.829091483302337,2.4708451351831227,117.30861229883915,1.2346983276783552,
CompressionTimeInSeconds,3.660434199,121.8606674,5.2069768,6.8951479,41.3821075,0.8716221,82.812762201,
General compression ratio,3.4177982471516444,2.8892788025397245,3.195536209248145,2.8576754711231174,3.789164025214158,2.731164370297633,3.2514839981830903,

### Decompression Statistics ###,PPMD,M03,BSC,GZIP,MCM,ZSTD,SEVEN_Z,
DecompressedFileInMB,102.248779,102.248779,102.248779,102.248779,102.248779,102.248779,102.248779,
